decision logAST debtRatio debtRatio2 ProfibilityRatio VentureDummy underwriterRating logRevenue DebtPaymentDummy logMarket NASDAQ30dayReturn logNumIPOS
0 2.404408 0 0.01117507 0.01673538 0 3.33 1.426866 0 16.09789 0.0255 3.258097
0 1.251686 0 0.08853383 0.1513308 0 4 1.530160 0 14.22098 0.054 2.564949
0 2.358577 0.141832 0.05510041 0.09273317 0 0 1.669686 1 15.42495 -0.0525 3.135494
0 1.329949 0 -0.000527659 -0.000527659 0 0 -4.78 0 14.56928 -0.0812 2.397895
0 5.510889 0.3226934 -0.02213275 -0.01838534 0 8.75 3.813793 0 18.133 0.0712 2.079442
0 1.403126 0.2312175 -0.04882842 -0.04882842 0 0 0.5434957 0 14.91412 0.1119 1.098612
0 4.802138 0.2956381 -0.005099757 -0.005099757 0 8.75 6.311394 1 17.53182 -0.001 3.091042
0 2.023764 0.01262801 0.08545265 0.1712226 0 0 1.673165 0 15.39963 -0.0194 3.091042
0 4.221883 0.1932854 0.07787362 0.07787362 0 9 3.89447 1 16.88820 -0.0321 3.433987
0 3.471013 0.1835912 0.01858915 0.03738402 0 4.5 3.488292 0 16.52356 0.0314 2.484907
0 3.632026 0.03307814 0.001429082 0.01790515 0 8.88 3.384236 0 17.00186 0.0209 4.248495
0 3.312385 0.2615771 -0.06692839 -0.06692839 0 5 2.835954 1 16.30042 0.0073 3.737670
0 4.245835 0.1905921 0.02954995 0.04672415 0 7.38 5.208125 1 16.81224 -0.0315 3.332205
0 2.912462 0.4478788 0.1055891 0.1090011 0 1 2.354813 0 15.60727 0.0056 3.637586
0 3.746016 0.005879297 0.1181290 0.2051615 1 8.75 3.569364 0 17.14772 0.0199 2.397895
0 2.550304 0 0.05349551 0.05346967 1 6 2.173308 1 15.85673 0.037 2.564949
0 4.212742 0.1459991 -0.006322039 -0.006322039 1 8.75 3.40243 0 17.22082 -0.1 2.397895
0 3.501992 0 0.1484864 0.2438512 1 8.88 3.168523 0 16.82675 -0.0521 2.397895
0 2.430347 0.1301465 -0.1579116 -0.1579116 1 7.63 0.06790815 0 16.15732 -0.0303 2.197225
0 4.338976 0.1815892 0.1040598 0.1109893 1 8.75 3.834083 0 17.12970 -0.0118 3.433987
0 3.770183 0 0.0475938 0.06015488 1 5.5 2.902685 0 16.86003 -0.0219 3.044522
0 3.737681 0.005407724 -0.00509037 -0.00509037 1 8.88 1.291679 0 17.41965 -0.0235 3.367296
0 4.026457 0.3614573 0.00845893 0.008676546 1 8.75 3.530215 1 17.22501 -0.0231 3.688879
